Die Bevölkerung in den kreisfreien Städten und Landkreisen am 31.12.2021 nach Alter und Geschlecht,,,,,,,,,,,Zurück zum Inhalt
AGS / Gebiet,Alter in Jahren,Insgesamt,,,Deutsche,,,Nichtdeutsche,,,
,,insgesamt,männlich,weiblich,insgesamt,männlich,weiblich,insgesamt,männlich,weiblich,
,75 bis unter 76,1308,594,714,1232,559,673,76,35,41,
,76 bis unter 77,1049,483,566,975,447,528,74,36,38,
,77 bis unter 78,1356,619,737,1301,591,710,55,28,27,
,78 bis unter 79,1298,608,690,1240,580,660,58,28,30,
,79 bis unter 80,1205,527,678,1169,511,658,36,16,20,
,80 bis unter 81,1474,648,826,1427,622,805,47,26,21,
,81 bis unter 82,1626,725,901,1573,697,876,53,28,25,
,82 bis unter 83,1478,606,872,1440,587,853,38,19,19,
,83 bis unter 84,1290,546,744,1259,531,728,31,15,16,
,84 bis unter 85,1103,471,632,1076,455,621,27,16,11,
,85 bis unter 86,993,423,570,972,416,556,21,7,14,
,86 bis unter 87,847,305,542,833,298,535,14,7,7,
,87 bis unter 88,724,260,464,706,249,457,18,11,7,
,88 bis unter 89,490,179,311,468,170,298,22,9,13,
,89 bis unter 90,450,164,286,436,157,279,14,7,7,
,90 bis unter 91,349,105,244,332,100,232,17,5,12,
,91 bis unter 92,354,108,246,345,104,241,9,4,5,
,92 bis unter 93,273,82,191,263,76,187,10,6,4,
,93 bis unter 94,211,64,147,207,62,145,4,2,2,
,94 bis unter 95,181,52,129,177,51,126,4,1,3,
,95 oder älter,325,82,243,312,75,237,13,7,6,
,Insgesamt,172759,85786,86973,151128,74375,76753,21631,11411,10220,
534,Unter 1,2116,1093,1023,1856,960,896,260,133,127,
Landkreis Marburg-Biedenkopf,  1 bis unter   2,2101,1077,1024,1843,950,893,258,127,131,
,  2 bis unter   3,2155,1164,991,1891,1005,886,264,159,105,
,  3 bis unter   4,2191,1066,1125,1868,902,966,323,164,159,
,  4 bis unter   5,2182,1126,1056,1869,983,886,313,143,170,
,  5 bis unter   6,2287,1156,1131,1930,972,958,357,184,173,
,  6 bis unter   7,2234,1152,1082,1945,1004,941,289,148,141,
,  7 bis unter   8,2202,1140,1062,1847,943,904,355,197,158,
,  8 bis unter   9,2097,1064,1033,1813,919,894,284,145,139,
,  9 bis unter 10,2144,1113,1031,1870,967,903,274,146,128,
,10 bis unter 11,2115,1070,1045,1832,917,915,283,153,130,
,11 bis unter 12,2218,1153,1065,1934,1010,924,284,143,141,
,12 bis unter 13,2094,1033,1061,1821,897,924,273,136,137,
,13 bis unter 14,2279,1164,1115,1976,1011,965,303,153,150,
,14 bis unter 15,2238,1192,1046,1988,1052,936,250,140,110,
,15 bis unter 16,2204,1116,1088,1963,989,974,241,127,114,
,16 bis unter 17,2283,1148,1135,2050,1020,1030,233,128,105,
,17 bis unter 18,2331,1212,1119,2073,1079,994,258,133,125,
,18 bis unter 19,2585,1287,1298,2251,1119,1132,334,168,166,
,19 bis unter 20,3041,1481,1560,2609,1245,1364,432,236,196,
,20 bis unter 21,3444,1567,1877,2962,1312,1650,482,255,227,
,21 bis unter 22,3797,1753,2044,3243,1458,1785,554,295,259,
,22 bis unter 23,3981,1868,2113,3296,1487,1809,685,381,304,
,23 bis unter 24,4198,2013,2185,3429,1579,1850,769,434,335,
,24 bis unter 25,4207,2079,2128,3410,1616,1794,797,463,334,
,25 bis unter 26,3938,2006,1932,3123,1536,1587,815,470,345,
,26 bis unter 27,3470,1729,1741,2735,1337,1398,735,392,343,
,27 bis unter 28,3569,1847,1722,2757,1386,1371,812,461,351,
,28 bis unter 29,3470,1754,1716,2667,1331,1336,803,423,380,
,29 bis unter 30,3353,1841,1512,2595,1376,1219,758,465,293,
,30 bis unter 31,3371,1758,1613,2603,1332,1271,768,426,342,
,31 bis unter 32,3500,1879,1621,2835,1503,1332,665,376,289,
,32 bis unter 33,3309,1757,1552,2694,1406,1288,615,351,264,
,33 bis unter 34,3408,1784,1624,2752,1408,1344,656,376,280,
,34 bis unter 35,3087,1568,1519,2446,1204,1242,641,364,277,
,35 bis unter 36,3093,1570,1523,2541,1270,1271,552,300,252,
,36 bis unter 37,2980,1562,1418,2443,1254,1189,537,308,229,
,37 bis unter 38,2941,1520,1421,2426,1255,1171,515,265,250,
,38 bis unter 39,2813,1377,1436,2357,1154,1203,456,223,233,
,39 bis unter 40,2915,1496,1419,2448,1254,1194,467,242,225,
,40 bis unter 41,2890,1467,1423,2398,1228,1170,492,239,253,
,41 bis unter 42,3035,1507,1528,2542,1239,1303,493,268,225,
,42 bis unter 43,2731,1398,1333,2282,1155,1127,449,243,206,
,43 bis unter 44,2780,1427,1353,2291,1142,1149,489,285,204,
,44 bis unter 45,2795,1407,1388,2314,1159,1155,481,248,233,
,45 bis unter 46,2738,1348,1390,2267,1118,1149,471,230,241,
,46 bis unter 47,2678,1338,1340,2228,1110,1118,450,228,222,
,47 bis unter 48,2746,1379,1367,2285,1141,1144,461,238,223,
,48 bis unter 49,2613,1278,1335,2184,1068,1116,429,210,219,
,49 bis unter 50,2991,1438,1553,2565,1237,1328,426,201,225,
,50 bis unter 51,3221,1592,1629,2781,1377,1404,440,215,225,
,51 bis unter 52,3366,1633,1733,2954,1431,1523,412,202,210,
,52 bis unter 53,3497,1679,1818,3112,1482,1630,385,197,188,
,53 bis unter 54,3574,1864,1710,3212,1684,1528,362,180,182,
,54 bis unter 55,3715,1883,1832,3362,1697,1665,353,186,167,
,55 bis unter 56,3743,1854,1889,3411,1682,1729,332,172,160,
,56 bis unter 57,3959,1999,1960,3640,1841,1799,319,158,161,
,57 bis unter 58,3918,1936,1982,3625,1797,1828,293,139,154,
,58 bis unter 59,4024,2006,2018,3722,1848,1874,302,158,144,
,59 bis unter 60,3718,1872,1846,3428,1714,1714,290,158,132,
,60 bis unter 61,3864,1966,1898,3663,1859,1804,201,107,94,
,61 bis unter 62,3593,1726,1867,3352,1620,1732,241,106,135,
,62 bis unter 63,3435,1689,1746,3268,1611,1657,167,78,89,
,63 bis unter 64,3353,1665,1688,3162,1558,1604,191,107,84,
,64 bis unter 65,3105,1560,1545,2955,1476,1479,150,84,66,
,65 bis unter 66,3017,1479,1538,2849,1396,1453,168,83,85,
,66 bis unter 67,2808,1311,1497,2653,1235,1418,155,76,79,
,67 bis unter 68,2773,1383,1390,2619,1318,1301,154,65,89,
,68 bis unter 69,2718,1299,1419,2588,1249,1339,130,50,80,
,69 bis unter 70,2653,1262,1391,2546,1227,1319,107,35,72,
,70 bis unter 71,2570,1232,1338,2473,1196,1277,97,36,61,
,71 bis unter 72,2550,1237,1313,2408,1174,1234,142,63,79,
,72 bis unter 73,2383,1128,1255,2248,1077,1171,135,51,84,
,73 bis unter 74,2220,1046,1174,2071,978,1093,149,68,81,
,74 bis unter 75,2130,966,1164,2012,905,1107,118,61,57,
,75 bis unter 76,1690,817,873,1592,769,823,98,48,50,
,76 bis unter 77,1311,589,722,1208,538,670,103,51,52,
,77 bis unter 78,1617,760,857,1529,718,811,88,42,46,
,78 bis unter 79,1671,727,944,1571,681,890,100,46,54,
,79 bis unter 80,1626,751,875,1527,691,836,99,60,39,
,80 bis unter 81,1885,811,1074,1809,773,1036,76,38,38,
,81 bis unter 82,2052,870,1182,1981,837,1144,71,33,38,
,82 bis unter 83,2005,825,1180,1932,789,1143,73,36,37,
,83 bis unter 84,1824,754,1070,1759,723,1036,65,31,34,
,84 bis unter 85,1500,631,869,1472,613,859,28,18,10,
,85 bis unter 86,1381,561,820,1355,545,810,26,16,10,
,86 bis unter 87,1108,406,702,1090,393,697,18,13,5,
,87 bis unter 88,990,386,604,972,378,594,18,8,10,
,88 bis unter 89,706,247,459,687,243,444,19,4,15,
,89 bis unter 90,560,175,385,552,172,380,8,3,5,
,90 bis unter 91,533,156,377,519,148,371,14,8,6,
,91 bis unter 92,446,133,313,433,125,308,13,8,5,
,92 bis unter 93,380,124,256,371,119,252,9,5,4,
,93 bis unter 94,281,96,185,277,93,184,4,3,1,
,94 bis unter 95,170,32,138,168,32,136,2,0,2,
,95 oder älter,516,104,412,501,101,400,15,3,12,
,Insgesamt,246097,120944,125153,215766,104912,110854,30331,16032,14299,
535    Vogelsbergkreis,Unter 1,844,466,378,749,412,337,95,54,41,
,  1 bis unter   2,859,449,410,761,400,361,98,49,49,
,  2 bis unter   3,905,460,445,802,400,402,103,60,43,
,  3 bis unter   4,877,454,423,760,394,366,117,60,57,
,  4 bis unter   5,903,464,439,784,404,380,119,60,59,
,  5 bis unter   6,919,465,454,798,405,393,121,60,61,
,  6 bis unter   7,900,449,451,782,398,384,118,51,67,
,  7 bis unter   8,833,417,416,718,356,362,115,61,54,
,  8 bis unter   9,874,453,421,756,392,364,118,61,57,
,  9 bis unter 10,880,435,445,792,393,399,88,42,46,
,10 bis unter 11,918,497,421,812,431,381,106,66,40,
,11 bis unter 12,865,450,415,772,400,372,93,50,43,
,12 bis unter 13,900,417,483,793,368,425,107,49,58,
,13 bis unter 14,884,465,419,801,422,379,83,43,40,
,14 bis unter 15,933,491,442,821,428,393,112,63,49,
,15 bis unter 16,937,471,466,840,420,420,97,51,46,
,16 bis unter 17,959,503,456,886,459,427,73,44,29,
,17 bis unter 18,977,504,473,901,461,440,76,43,33,
,18 bis unter 19,950,482,468,870,440,430,80,42,38,
,19 bis unter 20,972,502,470,865,451,414,107,51,56,
,20 bis unter 21,954,528,426,857,467,390,97,61,36,
,21 bis unter 22,974,538,436,874,479,395,100,59,41,
,22 bis unter 23,997,529,468,871,452,419,126,77,49,
,23 bis unter 24,1042,578,464,910,493,417,132,85,47,
,24 bis unter 25,1102,595,507,935,498,437,167,97,70,
,25 bis unter 26,1011,588,423,867,501,366,144,87,57,
,26 bis unter 27,894,496,398,762,414,348,132,82,50,
,27 bis unter 28,1012,547,465,856,455,401,156,92,64,
,28 bis unter 29,1035,556,479,897,479,418,138,77,61,
,29 bis unter 30,1084,602,482,910,498,412,174,104,70,
,30 bis unter 31,1036,562,474,895,483,412,141,79,62,
,31 bis unter 32,1152,607,545,1001,525,476,151,82,69,
,32 bis unter 33,1177,630,547,997,524,473,180,106,74,
,33 bis unter 34,1225,628,597,1063,542,521,162,86,76,
,34 bis unter 35,1182,603,579,1033,522,511,149,81,68,
,35 bis unter 36,1149,604,545,1004,524,480,145,80,65,
,36 bis unter 37,1157,627,530,1013,549,464,144,78,66,
,37 bis unter 38,1146,591,555,1011,527,484,135,64,71,
,38 bis unter 39,1154,607,547,1002,533,469,152,74,78,
,39 bis unter 40,1170,611,559,1029,536,493,141,75,66,
,40 bis unter 41,1238,611,627,1103,552,551,135,59,76,
,41 bis unter 42,1250,619,631,1113,548,565,137,71,66,
,42 bis unter 43,1188,582,606,1022,495,527,166,87,79,
,43 bis unter 44,1162,588,574,1051,535,516,111,53,58,
,44 bis unter 45,1149,562,587,1035,511,524,114,51,63,
,45 bis unter 46,1178,577,601,1056,524,532,122,53,69,
,46 bis unter 47,1237,628,609,1099,570,529,138,58,80,
,47 bis unter 48,1264,633,631,1124,566,558,140,67,73,
,48 bis unter 49,1229,640,589,1102,570,532,127,70,57,
,49 bis unter 50,1351,658,693,1225,597,628,126,61,65,
,50 bis unter 51,1467,742,725,1355,683,672,112,59,53,
,51 bis unter 52,1546,745,801,1430,689,741,116,56,60,
,52 bis unter 53,1686,841,845,1561,773,788,125,68,57,
,53 bis unter 54,1603,799,804,1487,740,747,116,59,57,
,54 bis unter 55,1756,906,850,1654,855,799,102,51,51,
,55 bis unter 56,1873,933,940,1773,882,891,100,51,49,
,56 bis unter 57,1822,905,917,1730,852,878,92,53,39,
,57 bis unter 58,1950,969,981,1880,933,947,70,36,34,
,58 bis unter 59,2008,1036,972,1929,995,934,79,41,38,
,59 bis unter 60,1934,1016,918,1867,980,887,67,36,31,
,60 bis unter 61,1937,902,1035,1869,861,1008,68,41,27,
,61 bis unter 62,1848,899,949,1788,867,921,60,32,28,
,62 bis unter 63,1882,930,952,1817,909,908,65,21,44,
,63 bis unter 64,1869,957,912,1833,945,888,36,12,24,
,64 bis unter 65,1803,919,884,1747,894,853,56,25,31,
,65 bis unter 66,1654,808,846,1599,779,820,55,29,26,
,66 bis unter 67,1547,807,740,1496,787,709,51,20,31,
,67 bis unter 68,1469,741,728,1432,723,709,37,18,19,
,68 bis unter 69,1455,721,734,1420,706,714,35,15,20,
,69 bis unter 70,1448,712,736,1409,698,711,39,14,25,
,70 bis unter 71,1473,738,735,1434,723,711,39,15,24,
,71 bis unter 72,1420,715,705,1380,695,685,40,20,20,
,72 bis unter 73,1336,645,691,1305,627,678,31,18,13,
,73 bis unter 74,1186,603,583,1151,590,561,35,13,22,
,74 bis unter 75,1084,538,546,1052,526,526,32,12,20,
,75 bis unter 76,879,391,488,857,378,479,22,13,9,
,76 bis unter 77,600,291,309,585,285,300,15,6,9,
,77 bis unter 78,809,391,418,791,384,407,18,7,11,
,78 bis unter 79,769,353,416,757,346,411,12,7,5,
,79 bis unter 80,679,314,365,658,298,360,21,16,5,
,80 bis unter 81,966,431,535,948,421,527,18,10,8,
,81 bis unter 82,1045,438,607,1030,433,597,15,5,10,
,82 bis unter 83,1045,426,619,1031,421,610,14,5,9,
,83 bis unter 84,957,414,543,946,407,539,11,7,4,
,84 bis unter 85,866,347,519,861,344,517,5,3,2,
,85 bis unter 86,731,303,428,728,303,425,3,0,3,
,86 bis unter 87,640,241,399,634,239,395,6,2,4,
,87 bis unter 88,570,199,371,559,196,363,11,3,8,
,88 bis unter 89,392,135,257,389,134,255,3,1,2,
,89 bis unter 90,351,119,232,350,119,231,1,0,1,
,90 bis unter 91,291,95,196,286,93,193,5,2,3,
,91 bis unter 92,264,79,185,263,79,184,1,0,1,
,92 bis unter 93,194,59,135,193,59,134,1,0,1,
,93 bis unter 94,189,65,124,187,64,123,2,1,1,
,94 bis unter 95,101,29,72,101,29,72,0,0,0,
,95 oder älter,289,78,211,286,76,210,3,2,1,
,Insgesamt,105671,52744,52927,97618,48523,49095,8053,4221,3832,
611,Unter 1,2043,1074,969,1566,815,751,477,259,218,
"Kassel, documenta-Stadt",  1 bis unter   2,2034,1048,986,1471,745,726,563,303,260,
,  2 bis unter   3,2006,1036,970,1461,754,707,545,282,263,
,  3 bis unter   4,1954,998,956,1424,723,701,530,275,255,
,  4 bis unter   5,1946,1007,939,1427,736,691,519,271,248,
,  5 bis unter   6,1994,1010,984,1429,716,713,565,294,271,
,  6 bis unter   7,1835,938,897,1330,678,652,505,260,245,
,  7 bis unter   8,1819,890,929,1314,656,658,505,234,271,
,  8 bis unter   9,1745,949,796,1321,718,603,424,231,193,
,  9 bis unter 10,1751,941,810,1320,703,617,431,238,193,
,10 bis unter 11,1687,880,807,1266,651,615,421,229,192,
,11 bis unter 12,1698,896,802,1340,699,641,358,197,161,
,12 bis unter 13,1732,921,811,1340,706,634,392,215,177,
,13 bis unter 14,1693,884,809,1318,677,641,375,207,168,
,14 bis unter 15,1759,914,845,1396,730,666,363,184,179,
,15 bis unter 16,1718,907,811,1388,727,661,330,180,150,
,16 bis unter 17,1723,879,844,1405,711,694,318,168,150,
,17 bis unter 18,1731,887,844,1429,714,715,302,173,129,
,18 bis unter 19,1833,934,899,1496,746,750,337,188,149,
,19 bis unter 20,2053,1009,1044,1678,809,869,375,200,175,
,20 bis unter 21,2523,1213,1310,2011,939,1072,512,274,238,
,21 bis unter 22,2738,1325,1413,2182,1016,1166,556,309,247,
,22 bis unter 23,3025,1499,1526,2306,1086,1220,719,413,306,
,23 bis unter 24,3200,1580,1620,2410,1122,1288,790,458,332,
,24 bis unter 25,3514,1832,1682,2575,1292,1283,939,540,399,
,25 bis unter 26,3490,1769,1721,2515,1234,1281,975,535,440,
,26 bis unter 27,3462,1805,1657,2500,1267,1233,962,538,424,
,27 bis unter 28,3344,1690,1654,2377,1142,1235,967,548,419,
,28 bis unter 29,3392,1798,1594,2387,1235,1152,1005,563,442,
,29 bis unter 30,3365,1835,1530,2356,1291,1065,1009,544,465,
,30 bis unter 31,3281,1776,1505,2312,1228,1084,969,548,421,
,31 bis unter 32,3444,1867,1577,2450,1318,1132,994,549,445,
,32 bis unter 33,3203,1740,1463,2313,1230,1083,890,510,380,
,33 bis unter 34,3159,1762,1397,2247,1240,1007,912,522,390,
,34 bis unter 35,2937,1642,1295,2182,1227,955,755,415,340,
,35 bis unter 36,2715,1483,1232,1953,1060,893,762,423,339,
,36 bis unter 37,2612,1437,1175,1895,1053,842,717,384,333,
,37 bis unter 38,2522,1384,1138,1859,1020,839,663,364,299,
,38 bis unter 39,2531,1373,1158,1918,1051,867,613,322,291,
,39 bis unter 40,2548,1380,1168,1947,1065,882,601,315,286,
,40 bis unter 41,2430,1251,1179,1821,967,854,609,284,325,
,41 bis unter 42,2382,1160,1222,1740,850,890,642,310,332,
,42 bis unter 43,2239,1121,1118,1664,847,817,575,274,301,
,43 bis unter 44,2152,1025,1127,1570,752,818,582,273,309,
,44 bis unter 45,2177,1036,1141,1620,752,868,557,284,273,
,45 bis unter 46,2143,1057,1086,1585,780,805,558,277,281,
,46 bis unter 47,2130,1051,1079,1586,782,804,544,269,275,
,47 bis unter 48,2178,1020,1158,1611,760,851,567,260,307,
,48 bis unter 49,2198,1089,1109,1598,791,807,600,298,302,
,49 bis unter 50,2285,1138,1147,1735,866,869,550,272,278,
,50 bis unter 51,2429,1166,1263,1873,892,981,556,274,282,
,51 bis unter 52,2535,1190,1345,1997,936,1061,538,254,284,
,52 bis unter 53,2672,1285,1387,2157,1055,1102,515,230,285,
,53 bis unter 54,2853,1464,1389,2348,1186,1162,505,278,227,
,54 bis unter 55,2799,1349,1450,2370,1116,1254,429,233,196,
,55 bis unter 56,2880,1399,1481,2459,1190,1269,421,209,212,
,56 bis unter 57,2942,1420,1522,2526,1209,1317,416,211,205,
,57 bis unter 58,3009,1503,1506,2585,1284,1301,424,219,205,
,58 bis unter 59,2930,1466,1464,2553,1271,1282,377,195,182,
,59 bis unter 60,2788,1306,1482,2445,1155,1290,343,151,192,
,60 bis unter 61,2631,1268,1363,2354,1139,1215,277,129,148,
,61 bis unter 62,2661,1270,1391,2365,1134,1231,296,136,160,
,62 bis unter 63,2491,1196,1295,2214,1062,1152,277,134,143,
,63 bis unter 64,2373,1150,1223,2155,1049,1106,218,101,117,
,64 bis unter 65,2375,1139,1236,2141,1020,1121,234,119,115,
,65 bis unter 66,2283,1076,1207,2048,970,1078,235,106,129,
,66 bis unter 67,2138,1036,1102,1910,917,993,228,119,109,
,67 bis unter 68,2097,977,1120,1906,885,1021,191,92,99,
,68 bis unter 69,1930,855,1075,1757,794,963,173,61,112,
,69 bis unter 70,1918,844,1074,1737,770,967,181,74,107,
,70 bis unter 71,1848,862,986,1688,797,891,160,65,95,
,71 bis unter 72,1818,808,1010,1601,724,877,217,84,133,
,72 bis unter 73,1852,836,1016,1641,749,892,211,87,124,
,73 bis unter 74,1838,813,1025,1621,717,904,217,96,121,
,74 bis unter 75,1672,746,926,1463,650,813,209,96,113,
,75 bis unter 76,1483,671,812,1270,562,708,213,109,104,
,76 bis unter 77,1276,558,718,1120,475,645,156,83,73,
,77 bis unter 78,1592,708,884,1458,638,820,134,70,64,
,78 bis unter 79,1525,652,873,1401,587,814,124,65,59,
,79 bis unter 80,1373,587,786,1234,507,727,139,80,59,
,80 bis unter 81,1588,634,954,1489,588,901,99,46,53,
,81 bis unter 82,1609,656,953,1517,606,911,92,50,42,
,82 bis unter 83,1500,596,904,1419,543,876,81,53,28,
,83 bis unter 84,1378,549,829,1290,499,791,88,50,38,
,84 bis unter 85,1212,479,733,1139,444,695,73,35,38,
,85 bis unter 86,1101,417,684,1043,392,651,58,25,33,
,86 bis unter 87,954,333,621,908,314,594,46,19,27,
,87 bis unter 88,774,290,484,730,260,470,44,30,14,
,88 bis unter 89,613,218,395,562,190,372,51,28,23,
,89 bis unter 90,463,168,295,446,158,288,17,10,7,
,90 bis unter 91,400,126,274,372,114,258,28,12,16,
,91 bis unter 92,391,116,275,367,103,264,24,13,11,
,92 bis unter 93,318,95,223,291,84,207,27,11,16,
,93 bis unter 94,267,63,204,258,59,199,9,4,5,
,94 bis unter 95,203,54,149,194,48,146,9,6,3,
,95 oder älter,551,105,446,530,97,433,21,8,13,
,Insgesamt,200406,98639,101767,160296,77616,82680,40110,21023,19087,
631,Unter 1,2156,1130,1026,1914,994,920,242,136,106,
Landkreis Fulda,  1 bis unter   2,2157,1101,1056,1895,963,932,262,138,124,
,  2 bis unter   3,2058,1066,992,1798,927,871,260,139,121,
,  3 bis unter   4,2106,1079,1027,1824,925,899,282,154,128,
,  4 bis unter   5,2194,1158,1036,1897,1018,879,297,140,157,
,  5 bis unter   6,2246,1161,1085,1925,997,928,321,164,157,
,  6 bis unter   7,2119,1084,1035,1852,942,910,267,142,125,
,  7 bis unter   8,2103,1068,1035,1866,947,919,237,121,116,
,  8 bis unter   9,2117,1075,1042,1874,952,922,243,123,120,
,  9 bis unter 10,2013,1008,1005,1750,868,882,263,140,123,
,10 bis unter 11,2014,1032,982,1797,923,874,217,109,108,
,11 bis unter 12,2062,1083,979,1810,941,869,252,142,110,
,12 bis unter 13,1982,1012,970,1750,898,852,232,114,118,
,13 bis unter 14,2007,1021,986,1751,877,874,256,144,112,
,14 bis unter 15,2062,1077,985,1841,966,875,221,111,110,
,15 bis unter 16,2143,1118,1025,1930,999,931,213,119,94,
,16 bis unter 17,2170,1058,1112,1941,948,993,229,110,119,
,17 bis unter 18,2326,1182,1144,2117,1071,1046,209,111,98,
,18 bis unter 19,2282,1181,1101,2090,1071,1019,192,110,82,
,19 bis unter 20,2268,1210,1058,2036,1080,956,232,130,102,
,20 bis unter 21,2434,1229,1205,2129,1056,1073,305,173,132,
,21 bis unter 22,2634,1323,1311,2295,1135,1160,339,188,151,
,22 bis unter 23,2540,1357,1183,2137,1119,1018,403,238,165,
,23 bis unter 24,2642,1409,1233,2245,1151,1094,397,258,139,
,24 bis unter 25,2937,1531,1406,2407,1200,1207,530,331,199,
,25 bis unter 26,2726,1466,1260,2198,1162,1036,528,304,224,
,26 bis unter 27,2737,1454,1283,2198,1137,1061,539,317,222,
,27 bis unter 28,2776,1543,1233,2193,1193,1000,583,350,233,
,28 bis unter 29,2868,1533,1335,2318,1240,1078,550,293,257,
,29 bis unter 30,2746,1467,1279,2263,1191,1072,483,276,207,
,30 bis unter 31,2796,1470,1326,2316,1193,1123,480,277,203,
,31 bis unter 32,2961,1525,1436,2433,1225,1208,528,300,228,
,32 bis unter 33,2814,1477,1337,2316,1208,1108,498,269,229,
,33 bis unter 34,2798,1474,1324,2311,1182,1129,487,292,195,
,34 bis unter 35,2806,1439,1367,2321,1177,1144,485,262,223,
,35 bis unter 36,2825,1502,1323,2354,1204,1150,471,298,173,
,36 bis unter 37,2616,1372,1244,2186,1129,1057,430,243,187,
,37 bis unter 38,2709,1371,1338,2292,1122,1170,417,249,168,
,38 bis unter 39,2649,1350,1299,2233,1130,1103,416,220,196,
,39 bis unter 40,2629,1335,1294,2206,1098,1108,423,237,186,
,40 bis unter 41,2594,1362,1232,2213,1164,1049,381,198,183,
,41 bis unter 42,2672,1355,1317,2255,1125,1130,417,230,187,
,42 bis unter 43,2512,1252,1260,2140,1051,1089,372,201,171,
,43 bis unter 44,2506,1265,1241,2142,1073,1069,364,192,172,
,44 bis unter 45,2660,1313,1347,2257,1092,1165,403,221,182,
,45 bis unter 46,2493,1236,1257,2090,1027,1063,403,209,194,
,46 bis unter 47,2367,1151,1216,2024,986,1038,343,165,178,
,47 bis unter 48,2585,1293,1292,2193,1087,1106,392,206,186,
,48 bis unter 49,2716,1309,1407,2375,1143,1232,341,166,175,
,49 bis unter 50,2845,1386,1459,2502,1206,1296,343,180,163,
,50 bis unter 51,3094,1523,1571,2757,1343,1414,337,180,157,
,51 bis unter 52,3200,1585,1615,2879,1420,1459,321,165,156,
,52 bis unter 53,3437,1749,1688,3151,1591,1560,286,158,128,
,53 bis unter 54,3572,1792,1780,3283,1627,1656,289,165,124,
,54 bis unter 55,3597,1843,1754,3348,1702,1646,249,141,108,
,55 bis unter 56,3720,1883,1837,3485,1763,1722,235,120,115,
,56 bis unter 57,3830,1934,1896,3580,1785,1795,250,149,101,
,57 bis unter 58,3787,1954,1833,3551,1819,1732,236,135,101,
,58 bis unter 59,3726,1868,1858,3549,1763,1786,177,105,72,
,59 bis unter 60,3649,1791,1858,3490,1705,1785,159,86,73,
,60 bis unter 61,3389,1719,1670,3232,1636,1596,157,83,74,
,61 bis unter 62,3325,1639,1686,3165,1552,1613,160,87,73,
,62 bis unter 63,3271,1582,1689,3127,1514,1613,144,68,76,
,63 bis unter 64,3043,1514,1529,2910,1455,1455,133,59,74,
,64 bis unter 65,3044,1491,1553,2916,1424,1492,128,67,61,
,65 bis unter 66,2905,1498,1407,2794,1446,1348,111,52,59,
,66 bis unter 67,2708,1355,1353,2597,1303,1294,111,52,59,
,67 bis unter 68,2643,1312,1331,2550,1267,1283,93,45,48,
,68 bis unter 69,2530,1209,1321,2438,1165,1273,92,44,48,
,69 bis unter 70,2509,1217,1292,2396,1160,1236,113,57,56,
,70 bis unter 71,2391,1131,1260,2281,1086,1195,110,45,65,
,71 bis unter 72,2321,1117,1204,2229,1075,1154,92,42,50,
,72 bis unter 73,2305,1080,1225,2206,1034,1172,99,46,53,
,73 bis unter 74,2036,943,1093,1953,907,1046,83,36,47,
,74 bis unter 75,1854,862,992,1764,816,948,90,46,44,
,75 bis unter 76,1670,799,871,1598,761,837,72,38,34,
,76 bis unter 77,1156,557,599,1102,535,567,54,22,32,
,77 bis unter 78,1601,759,842,1539,729,810,62,30,32,
,78 bis unter 79,1694,781,913,1654,757,897,40,24,16,
,79 bis unter 80,1602,695,907,1548,669,879,54,26,28,
,80 bis unter 81,1862,831,1031,1820,807,1013,42,24,18,
,81 bis unter 82,2095,923,1172,2047,899,1148,48,24,24,
,82 bis unter 83,2109,873,1236,2071,854,1217,38,19,19,
,83 bis unter 84,1702,729,973,1676,712,964,26,17,9,
,84 bis unter 85,1500,599,901,1477,588,889,23,11,12,
,85 bis unter 86,1383,513,870,1363,504,859,20,9,11,
,86 bis unter 87,1134,454,680,1114,444,670,20,10,10,
,87 bis unter 88,962,370,592,952,365,587,10,5,5,
,88 bis unter 89,724,269,455,705,259,446,19,10,9,
,89 bis unter 90,659,225,434,643,213,430,16,12,4,
,90 bis unter 91,572,188,384,566,186,380,6,2,4,
,91 bis unter 92,525,161,364,511,152,359,14,9,5,
,92 bis unter 93,431,128,303,428,127,301,3,1,2,
,93 bis unter 94,318,91,227,316,91,225,2,0,2,
,94 bis unter 95,236,71,165,232,69,163,4,2,2,
,95 oder älter,573,121,452,566,120,446,7,1,6,
,Insgesamt,223572,111181,112391,200759,98712,102047,22813,12469,10344,
632,Unter 1,1081,561,520,915,475,440,166,86,80,
Landkreis Hersfeld-Rotenburg,  1 bis unter   2,1076,558,518,894,458,436,182,100,82,
,  2 bis unter   3,1087,535,552,897,434,463,190,101,89,
,  3 bis unter   4,1043,559,484,881,472,409,162,87,75,
,  4 bis unter   5,1120,594,526,914,487,427,206,107,99,
,  5 bis unter   6,1186,628,558,999,530,469,187,98,89,
,  6 bis unter   7,1103,569,534,901,463,438,202,106,96,
,  7 bis unter   8,1077,536,541,908,452,456,169,84,85,
,  8 bis unter   9,1022,540,482,829,431,398,193,109,84,
,  9 bis unter 10,1046,541,505,904,477,427,142,64,78,
,10 bis unter 11,1061,576,485,930,511,419,131,65,66,
,11 bis unter 12,1066,548,518,919,472,447,147,76,71,
,12 bis unter 13,1012,542,470,883,465,418,129,77,52,
,13 bis unter 14,1067,515,552,928,453,475,139,62,77,
,14 bis unter 15,1167,613,554,1031,530,501,136,83,53,
