Die Bevölkerung in den kreisfreien Städten und Landkreisen am 31.12.2021 nach Alter und Geschlecht,,,,,,,,,,,Zurück zum Inhalt
AGS / Gebiet,Alter in Jahren,Insgesamt,,,Deutsche,,,Nichtdeutsche,,,
,,insgesamt,männlich,weiblich,insgesamt,männlich,weiblich,insgesamt,männlich,weiblich,
,21 bis unter 22,3373,1680,1693,2729,1326,1403,644,354,290,
,22 bis unter 23,3593,1787,1806,2689,1277,1412,904,510,394,
,23 bis unter 24,3755,1874,1881,2812,1364,1448,943,510,433,
,24 bis unter 25,3709,1814,1895,2764,1308,1456,945,506,439,
,25 bis unter 26,3695,1840,1855,2695,1329,1366,1000,511,489,
,26 bis unter 27,3593,1788,1805,2608,1269,1339,985,519,466,
,27 bis unter 28,3497,1735,1762,2483,1216,1267,1014,519,495,
,28 bis unter 29,3681,1815,1866,2720,1344,1376,961,471,490,
,29 bis unter 30,3716,1798,1918,2761,1346,1415,955,452,503,
,30 bis unter 31,3698,1781,1917,2679,1351,1328,1019,430,589,
,31 bis unter 32,3786,1852,1934,2755,1359,1396,1031,493,538,
,32 bis unter 33,3770,1794,1976,2747,1323,1424,1023,471,552,
,33 bis unter 34,3808,1867,1941,2733,1365,1368,1075,502,573,
,34 bis unter 35,3500,1700,1800,2453,1208,1245,1047,492,555,
,35 bis unter 36,3625,1748,1877,2608,1260,1348,1017,488,529,
,36 bis unter 37,3415,1674,1741,2401,1200,1201,1014,474,540,
,37 bis unter 38,3480,1682,1798,2455,1200,1255,1025,482,543,
,38 bis unter 39,3613,1695,1918,2567,1243,1324,1046,452,594,
,39 bis unter 40,3708,1732,1976,2651,1255,1396,1057,477,580,
,40 bis unter 41,3741,1701,2040,2569,1170,1399,1172,531,641,
,41 bis unter 42,3759,1738,2021,2639,1205,1434,1120,533,587,
,42 bis unter 43,3609,1696,1913,2525,1195,1330,1084,501,583,
,43 bis unter 44,3651,1729,1922,2512,1189,1323,1139,540,599,
,44 bis unter 45,3472,1641,1831,2408,1153,1255,1064,488,576,
,45 bis unter 46,3488,1641,1847,2456,1166,1290,1032,475,557,
,46 bis unter 47,3445,1608,1837,2406,1141,1265,1039,467,572,
,47 bis unter 48,3464,1636,1828,2399,1114,1285,1065,522,543,
,48 bis unter 49,3439,1636,1803,2418,1160,1258,1021,476,545,
,49 bis unter 50,3625,1771,1854,2602,1272,1330,1023,499,524,
,50 bis unter 51,3822,1863,1959,2883,1405,1478,939,458,481,
,51 bis unter 52,3931,1896,2035,2993,1468,1525,938,428,510,
,52 bis unter 53,4057,1975,2082,3133,1527,1606,924,448,476,
,53 bis unter 54,4337,2106,2231,3463,1687,1776,874,419,455,
,54 bis unter 55,4283,2155,2128,3467,1721,1746,816,434,382,
,55 bis unter 56,4531,2313,2218,3658,1870,1788,873,443,430,
,56 bis unter 57,4347,2095,2252,3545,1683,1862,802,412,390,
,57 bis unter 58,4292,2130,2162,3544,1762,1782,748,368,380,
,58 bis unter 59,4212,2051,2161,3438,1648,1790,774,403,371,
,59 bis unter 60,3927,1923,2004,3245,1572,1673,682,351,331,
,60 bis unter 61,3794,1793,2001,3220,1537,1683,574,256,318,
,61 bis unter 62,3672,1790,1882,3115,1514,1601,557,276,281,
,62 bis unter 63,3599,1720,1879,3094,1475,1619,505,245,260,
,63 bis unter 64,3229,1561,1668,2767,1341,1426,462,220,242,
,64 bis unter 65,3235,1516,1719,2786,1299,1487,449,217,232,
,65 bis unter 66,3025,1454,1571,2590,1238,1352,435,216,219,
,66 bis unter 67,2910,1386,1524,2489,1172,1317,421,214,207,
,67 bis unter 68,2822,1257,1565,2441,1102,1339,381,155,226,
,68 bis unter 69,2654,1179,1475,2318,1059,1259,336,120,216,
,69 bis unter 70,2564,1124,1440,2257,1007,1250,307,117,190,
,70 bis unter 71,2572,1099,1473,2267,994,1273,305,105,200,
,71 bis unter 72,2616,1186,1430,2292,1053,1239,324,133,191,
,72 bis unter 73,2627,1162,1465,2312,1036,1276,315,126,189,
,73 bis unter 74,2489,1135,1354,2175,991,1184,314,144,170,
,74 bis unter 75,2404,1050,1354,2090,910,1180,314,140,174,
,75 bis unter 76,1983,880,1103,1724,770,954,259,110,149,
,76 bis unter 77,1771,783,988,1512,667,845,259,116,143,
,77 bis unter 78,2344,1016,1328,2125,917,1208,219,99,120,
,78 bis unter 79,2266,987,1279,2065,899,1166,201,88,113,
,79 bis unter 80,2227,954,1273,2041,871,1170,186,83,103,
,80 bis unter 81,2395,1040,1355,2222,962,1260,173,78,95,
,81 bis unter 82,2352,990,1362,2165,907,1258,187,83,104,
,82 bis unter 83,2148,881,1267,1999,798,1201,149,83,66,
,83 bis unter 84,1967,802,1165,1836,747,1089,131,55,76,
,84 bis unter 85,1709,708,1001,1584,642,942,125,66,59,
,85 bis unter 86,1537,626,911,1443,583,860,94,43,51,
,86 bis unter 87,1338,528,810,1282,501,781,56,27,29,
,87 bis unter 88,1163,446,717,1105,423,682,58,23,35,
,88 bis unter 89,809,302,507,732,268,464,77,34,43,
,89 bis unter 90,678,245,433,635,226,409,43,19,24,
,90 bis unter 91,593,209,384,554,188,366,39,21,18,
,91 bis unter 92,543,189,354,514,173,341,29,16,13,
,92 bis unter 93,454,144,310,423,132,291,31,12,19,
,93 bis unter 94,362,118,244,329,106,223,33,12,21,
,94 bis unter 95,260,81,179,249,73,176,11,8,3,
,95 oder älter,705,160,545,660,146,514,45,14,31,
,Insgesamt,278950,133538,145412,221363,105536,115827,57587,28002,29585,
431,Unter 1,2636,1368,1268,2244,1145,1099,392,223,169,
Landkreis Bergstraße,  1 bis unter   2,2533,1324,1209,2133,1111,1022,400,213,187,
,  2 bis unter   3,2603,1342,1261,2233,1149,1084,370,193,177,
,  3 bis unter   4,2627,1338,1289,2224,1139,1085,403,199,204,
,  4 bis unter   5,2710,1352,1358,2243,1123,1120,467,229,238,
,  5 bis unter   6,2568,1300,1268,2147,1082,1065,421,218,203,
,  6 bis unter   7,2526,1302,1224,2125,1083,1042,401,219,182,
,  7 bis unter   8,2586,1261,1325,2167,1064,1103,419,197,222,
,  8 bis unter   9,2406,1244,1162,2035,1068,967,371,176,195,
,  9 bis unter 10,2494,1234,1260,2079,1017,1062,415,217,198,
