GENESIS-Tabelle: 12411-0017
Bevölkerung: Kreise, Stichtag, Altersgruppen;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;
;;;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt
31.12.2021;04012;Bremerhaven, kreisfreie Stadt;3486;3519;4654;5331;3385;2269;6991;7320;7329;6822;6497;6437;7735;8503;7931;12568;12396;113173
31.12.2021;05111;Düsseldorf, kreisfreie Stadt;17956;18174;22334;26681;15024;10221;33500;48003;53230;46394;40892;38324;45500;45896;37348;56118;63882;619477
31.12.2021;05112;Duisburg, kreisfreie Stadt;15238;15769;19105;23414;13968;9824;28881;32519;34749;30664;30138;29775;36275;39088;33511;49907;52327;495152
31.12.2021;05113;Essen, kreisfreie Stadt;17301;17454;21472;25207;15304;10416;32484;40140;42782;37986;34894;33191;41282;44391;39185;61045;64898;579432
31.12.2021;05114;Krefeld, kreisfreie Stadt;6357;6742;8306;10282;6462;4355;12488;14035;14601;13560;13241;13408;17573;18762;16449;24125;26304;227050
31.12.2021;05116;Mönchengladbach, kreisfreie Stadt;7617;7953;9763;11847;7395;5130;14812;16762;17870;16339;15392;14736;19411;21459;18900;28257;27358;261001
31.12.2021;05117;Mülheim an der Ruhr, kreisfreie Stadt;4873;5178;6258;7602;4421;2990;8235;9891;10856;10047;9922;9674;13134;14195;12400;19267;21796;170739
31.12.2021;05119;Oberhausen, kreisfreie Stadt;5924;6172;7662;9164;5605;3780;10540;12558;13768;12987;12828;12156;15630;17243;15790;24228;22717;208752
31.12.2021;05120;Remscheid, kreisfreie Stadt;3244;3419;4188;5168;3234;2204;5857;6438;7006;6454;6761;6583;8685;9637;8249;11803;12840;111770
31.12.2021;05122;Solingen, kreisfreie Stadt;4676;4762;5945;7352;4666;3087;8407;9290;10096;9706;9477;9236;12453;13810;11755;16062;18177;158957
31.12.2021;05124;Wuppertal, kreisfreie Stadt;10612;10977;13750;16648;10485;7055;21678;23776;24360;22198;20975;20011;25825;28245;24204;35373;38400;354572
31.12.2021;05154;Kleve, Landkreis;8863;9011;11497;14173;9053;6151;17259;18971;20112;19111;18186;18167;25111;27762;23807;35513;31929;314676
31.12.2021;05158;Mettmann, Landkreis;13488;14506;18376;22469;13583;9011;22598;23562;27544;28574;28328;28313;38217;42655;36276;53965;62946;484411
31.12.2021;05162;Rhein-Kreis Neuss;13175;14046;17832;21536;12937;8591;21329;22504;26251;27704;28739;27702;36282;38947;33161;49801;51959;452496
31.12.2021;05166;Viersen, Landkreis;7885;8361;10598;13150;8265;5648;14262;15541;17169;17356;17130;17318;25005;28319;23829;34417;34508;298761
31.12.2021;05170;Wesel, Landkreis;12287;12966;16243;20052;12445;8330;21193;23486;27866;26715;26337;25435;36298;41602;37430;56977;54771;460433
31.12.2021;05313;Aachen, kreisfreie Stadt (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;05314;Bonn, kreisfreie Stadt;9452;9635;12738;15677;9467;7169;25646;27120;25603;22232;20463;19259;22727;23646;19880;28959;32212;331885
31.12.2021;05315;Köln, kreisfreie Stadt;31700;30803;38672;46674;26936;18800;68696;89823;92338;78657;72929;68515;78631;77990;62137;92113;97682;1073096
31.12.2021;05316;Leverkusen, kreisfreie Stadt;4815;4916;6432;7731;4764;3172;8477;9416;10479;9893;10014;9839;12806;13750;11550;16266;19531;163851
31.12.2021;05334;Städteregion Aachen, Landkreis;15218;15105;18915;23095;14462;12772;45710;45528;37931;32259;30232;29728;39224;42817;37851;57789;58037;556673
31.12.2021;05354;Aachen, Landkreis (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;05358;Düren, Landkreis;7984;8103;9760;12184;7480;5188;14621;15558;16779;15947;15420;15155;20513;22899;20473;30915;27792;266771
31.12.2021;05362;Rhein-Erft-Kreis;14041;14966;18577;22311;13271;9168;24171;24993;28480;28985;29639;28608;36953;40166;33853;51856;51853;471891
31.12.2021;05366;Euskirchen, Landkreis;5542;5840;7204;8861;5600;3785;9715;10110;11477;11515;11335;11127;15387;17842;15778;23138;20445;194701
31.12.2021;05370;Heinsberg, Landkreis;7297;7653;9494;11873;7500;5325;13165;13902;15959;15605;15254;15119;20373;23254;20360;29606;26567;258306
31.12.2021;05374;Oberbergischer Kreis;8210;8451;10458;12980;7959;5511;14421;14700;15936;15879;15824;15412;20993;23917;21147;29971;29852;271621
31.12.2021;05378;Rheinisch-Bergischer Kreis;7740;8143;10674;13085;8179;5510;13139;13047;15434;16447;16502;16639;23164;26236;21908;31514;36068;283429
31.12.2021;05382;Rhein-Sieg-Kreis;17050;18129;23400;29333;17924;12076;30751;31053;34749;35825;36246;35022;47459;52719;45185;66079;67732;600732
31.12.2021;05512;Bottrop, kreisfreie Stadt;3290;3291;4097;5107;3075;2165;5936;6438;7463;7119;6998;6789;9040;10011;9250;14154;13088;117311
31.12.2021;05513;Gelsenkirchen, kreisfreie Stadt;8607;8671;10363;12913;7684;5339;14893;16126;17478;15717;15579;15528;19136;19851;18255;27557;26429;260126
31.12.2021;05515;Münster, kreisfreie Stadt;8493;8431;10386;12632;7375;7228;31450;30732;26017;21608;18400;17184;20618;22022;18854;27313;28970;317713
31.12.2021;05554;Borken, Landkreis;11914;11773;14759;18718;11693;7858;20637;22393;23472;22264;21850;22259;29780;33030;27325;38343;35514;373582
31.12.2021;05558;Coesfeld, Landkreis;6579;6894;8439;10187;6492;4526;11258;11335;12626;13005;12702;12910;17725;20138;17722;25624;23190;221352
31.12.2021;05562;Recklinghausen, Landkreis;17378;18092;22281;27210;16910;11522;31003;32481;35977;35198;35430;36063;48260;52264;48347;74364;70021;612801
31.12.2021;05566;Steinfurt, Landkreis;13805;14167;17485;21895;13921;9686;25503;25255;26804;26760;26086;26707;36412;39590;33356;47140;45604;450176
31.12.2021;05570;Warendorf, Landkreis;8251;8321;10755;13376;8745;6015;14857;14471;15998;16333;16264;16700;22119;24003;20889;30967;30112;278176
31.12.2021;05711;Bielefeld, kreisfreie Stadt;10172;10056;12496;15624;9695;7147;23096;24213;23893;21713;19654;19749;23420;24740;21053;31896;35385;334002
31.12.2021;05754;Gütersloh, Landkreis;11137;11333;14239;17954;11241;7876;20534;20812;22731;22582;21873;22776;29070;31297;26275;36690;37684;366104
31.12.2021;05758;Herford, Landkreis;7193;7349;9510;12008;7379;5088;13006;13102;14773;14874;14633;14798;19508;21488;19126;27443;29357;250635
31.12.2021;05762;Höxter, Landkreis;3789;3931;5038;6575;4273;2882;7140;7294;7923;7661;7644;7852;10980;12452;11368;16897;16295;139994
31.12.2021;05766;Lippe, Landkreis;10233;10781;13845;17321;10680;7118;18382;18665;20161;19603;19117;19117;25905;28942;26318;39128;40835;346151
31.12.2021;05770;Minden-Lübbecke, Landkreis;9148;9368;11993;15042;9508;6386;16617;17227;18733;17731;17314;17667;23999;26306;24093;34400;35682;311214
31.12.2021;05774;Paderborn, Landkreis;9369;9446;12151;14767;9153;6772;20687;21587;21572;20009;18473;17954;22137;24144;21852;31258;28049;309380
31.12.2021;05911;Bochum, kreisfreie Stadt;9624;9747;12071;14228;8768;6623;23855;26912;26799;23488;20805;19791;25583;27773;25379;40347;41648;363441
31.12.2021;05913;Dortmund, kreisfreie Stadt;17520;17745;21775;25929;15763;11451;36792;42182;42535;37762;35670;34399;42427;44970;38525;59754;61653;586852
31.12.2021;05914;Hagen, kreisfreie Stadt;6047;5942;7424;9037;5547;4003;10621;11245;11898;10959;10885;10826;13975;15241;13385;20066;21612;188713
31.12.2021;05915;Hamm, kreisfreie Stadt;4998;5418;6906;8829;5405;3889;10803;11226;11295;10671;11062;11045;13304;13821;12346;19333;18887;179238
31.12.2021;05916;Herne, kreisfreie Stadt;4575;4557;5809;7027;4259;3157;9253;9836;10236;9090;9298;9755;11967;12452;11107;17045;17198;156621
31.12.2021;05954;Ennepe-Ruhr-Kreis;8740;9049;11301;13451;8314;5603;15903;17474;19165;18774;18164;17878;25847;29049;24979;38441;40011;322143
31.12.2021;05958;Hochsauerlandkreis;6977;7164;8956;11481;7818;5191;13260;14373;15427;14732;14347;15180;20850;23071;20479;29735;29574;258615
31.12.2021;05962;Märkischer Kreis;11481;11768;14866;18709;11897;8109;20866;22140;24413;23400;23047;23345;32152;36845;31434;45468;46853;406793
31.12.2021;05966;Olpe, Landkreis;3777;3826;5033;6103;4022;2620;7129;7321;8129;7976;7854;7871;10766;12141;10248;14535;13769;133120
31.12.2021;05970;Siegen-Wittgenstein, Landkreis;7935;8091;9975;12266;7447;5359;16399;17505;17529;16394;15784;15145;20179;22799;20371;31045;30119;274342
31.12.2021;05974;Soest, Landkreis;8482;8802;11367;14029;9001;6006;15756;16705;18029;17896;17730;17930;23986;26356;23246;33900;33077;302298
31.12.2021;05978;Unna, Landkreis;10827;11388;14271;17616;10930;7531;19728;20673;23000;22549;23278;23094;30760;34255;30772;46832;45559;393063
31.12.2021;06411;Darmstadt, kreisfreie Stadt;4751;4580;5648;6928;3951;3242;14314;16011;13859;10736;9336;8599;10146;10503;9042;13649;14336;159631
31.12.2021;06412;Frankfurt am Main, kreisfreie Stadt;24220;23671;28544;33956;19372;13162;44325;62208;70529;62943;56861;51462;54857;52185;40488;60834;59607;759224
31.12.2021;06413;Offenbach am Main, kreisfreie Stadt;4586;4371;5313;6403;3826;2661;7965;10151;11278;9910;9003;8421;9189;9143;7409;10905;10761;131295
31.12.2021;06414;Wiesbaden, kreisfreie Stadt;8764;9064;10942;13426;7984;5464;17473;18182;18562;17841;18232;17461;20430;21309;17529;26683;29604;278950
31.12.2021;06431;Bergstraße, Landkreis;7772;7905;10012;12036;7365;4992;13134;14143;16028;16358;16321;15825;21668;24255;21002;31848;30502;271166
31.12.2021;06432;Darmstadt-Dieburg, Landkreis;8463;9020;11641;14159;8431;5774;15254;16018;17849;17776;18859;18090;23615;26023;21733;33206;30989;296900
31.12.2021;06433;Groß-Gerau, Landkreis;8690;9052;11092;13607;7889;5384;15396;16407;18567;18480;18728;17470;21286;22182;17735;26965;27377;276307
31.12.2021;06434;Hochtaunuskreis;6227;7016;9806;12596;7485;4654;10711;10546;11875;13727;15421;15926;19860;20650;16066;24693;29782;237041
31.12.2021;06435;Main-Kinzig-Kreis;12389;12681;15832;19664;11840;8192;21825;23151;26430;25771;26732;26102;33187;35674;30709;47511;45775;423465
31.12.2021;06436;Main-Taunus-Kreis;7006;7410;9828;12304;7397;4704;11174;11669;13961;15149;16179;15785;19799;19958;15823;23699;27431;239276
31.12.2021;06437;Odenwaldkreis;2562;2672;3373;4210;2672;1848;4791;4962;5677;5440;5531;5702;7453;8528;7690;12460;11382;96953
31.12.2021;06438;Offenbach, Landkreis;10826;11262;13998;17132;10400;6824;18387;19753;22427;22889;23546;22433;27285;29184;24061;37528;39531;357466
31.12.2021;06439;Rheingau-Taunus-Kreis;4724;5203;6724;8622;5393;3613;9187;9067;9957;10796;11193;11521;15464;16916;14335;21941;22573;187229
31.12.2021;06440;Wetteraukreis;8803;9200;11776;14714;8921;5973;15818;16702;19041;19346;19952;19718;24807;26905;22406;34106;33473;311661
31.12.2021;06531;Gießen, Landkreis;7865;7939;9529;11658;7071;5644;21868;22351;20037;16770;15641;14535;18490;20560;18610;28291;26015;272874
31.12.2021;06532;Lahn-Dill-Kreis;7049;7360;9210;11739;7247;4943;13074;13963;15485;14898;14907;14900;19602;21906;19273;29368;28440;253364
31.12.2021;06533;Limburg-Weilburg, Landkreis;4674;4923;6185;7946;5049;3533;9112;9533;10479;10313;10252;10131;13581;15174;13303;20187;18384;172759
31.12.2021;06534;Marburg-Biedenkopf, Landkreis;6372;6660;8677;10944;6818;5626;19627;17800;16675;14742;14231;13766;17373;19362;17350;25822;24252;246097
